model,path,accuracy_at_1,accuracy_at_5,mrr,avg_similarity,not_found,total_queries,avg_query_time,dimension
bioclinicalbert/model-0_0107,models\bioclinicalbert\model-0_0107,0.08333333333333333,0.3958333333333333,0.1763888888888889,68.17342,29,48,0.005671689907709758,768
biobert-v1.2/model-0_1077,models\biobert-v1.2\model-0_1077,0.08333333333333333,0.2708333333333333,0.14201388888888888,78.28844,35,48,0.005103811621665955,768
bioclinicalbert/model-0_0001,models\bioclinicalbert\model-0_0001,0.08333333333333333,0.4375,0.20138888888888887,59.720947,27,48,0.005103940765062968,768
biobert/model-0_0073,models\biobert\model-0_0073,0.0625,0.2708333333333333,0.12916666666666668,75.33512,35,48,0.004827852050463359,768
biobert/model-0_0015,models\biobert\model-0_0015,0.0625,0.3541666666666667,0.15208333333333332,70.95059,31,48,0.005166495839754741,768
biobert/model-0_0004,models\biobert\model-0_0004,0.0625,0.3541666666666667,0.15555555555555556,68.52974,31,48,0.00454882284005483,768
biobert/model-0_1459,models\biobert\model-0_1459,0.0625,0.22916666666666666,0.11319444444444444,75.41043,37,48,0.0048088133335113525,768
biobert-v1.2/model-0_0173,models\biobert-v1.2\model-0_0173,0.0625,0.2916666666666667,0.12812500000000002,74.95777,34,48,0.005053321520487468,768
electra-agressive/model-0_0000,models\electra-agressive\model-0_0000,0.0625,0.125,0.08159722222222222,100.00001,42,48,0.006210381786028544,768
scibert/model-0_0929,models\scibert\model-0_0929,0.0625,0.4166666666666667,0.17326388888888888,55.240864,28,48,0.005278969804445903,768
scibert/model-0_2747,models\scibert\model-0_2747,0.0625,0.2916666666666667,0.12256944444444444,64.35735,34,48,0.005221073826154073,768
deberta-v3-conservative/model-0_0095,models\deberta-v3-conservative\model-0_0095,0.0625,0.10416666666666667,0.07187500000000001,86.54977,43,48,0.011884098251660665,768
deberta-v3-conservative/model-0_0027,models\deberta-v3-conservative\model-0_0027,0.0625,0.14583333333333334,0.0920138888888889,83.19031,41,48,0.013316631317138672,768
biobert/model-0_0292,models\biobert\model-0_0292,0.0625,0.3541666666666667,0.13923611111111112,73.4323,31,48,0.00507443646589915,768
biobert/model-0_0020,models\biobert\model-0_0020,0.041666666666666664,0.3541666666666667,0.13645833333333332,70.20496,31,48,0.005724991361300151,768
bioclinicalbert/model-0_1698,models\bioclinicalbert\model-0_1698,0.041666666666666664,0.3125,0.11631944444444443,71.43106,33,48,0.004894241690635681,768
electra-agressive/model-0_1767,models\electra-agressive\model-0_1767,0.041666666666666664,0.1875,0.09375,83.57547,39,48,0.006622021396954854,768
deberta-v3-conservative/model-0_0993,models\deberta-v3-conservative\model-0_0993,0.041666666666666664,0.20833333333333334,0.096875,93.529366,38,48,0.013055463631947836,768
bioclinicalbert/model-0_2932,models\bioclinicalbert\model-0_2932,0.041666666666666664,0.22916666666666666,0.10104166666666665,80.60113,37,48,0.005694101254145305,768
deberta-v3-conservative/model-0_0000,models\deberta-v3-conservative\model-0_0000,0.041666666666666664,0.16666666666666666,0.08125,81.25284,40,48,0.01358996331691742,768
biomedical-agressive/model-0_0000,models\biomedical-agressive\model-0_0000,0.041666666666666664,0.10416666666666667,0.06944444444444445,100.000015,43,48,0.006031354268391927,768
bluebert/model-0_2849,models\bluebert\model-0_2849,0.041666666666666664,0.16666666666666666,0.08854166666666667,86.34525,40,48,0.005752424399058024,768
deberta-v3-conservative/model-0_0000_1,models\deberta-v3-conservative\model-0_0000_1,0.041666666666666664,0.14583333333333334,0.078125,81.13793,41,48,0.01315602163473765,768
electra-agressive/model-0_1317,models\electra-agressive\model-0_1317,0.041666666666666664,0.1875,0.08819444444444445,68.56463,39,48,0.007069990038871765,768
deberta-v3-conservative/model-0_0001,models\deberta-v3-conservative\model-0_0001,0.041666666666666664,0.14583333333333334,0.078125,82.273186,41,48,0.012111052870750427,768
deberta-v3-conservative/model-0_0002,models\deberta-v3-conservative\model-0_0002,0.041666666666666664,0.125,0.07465277777777778,80.98745,42,48,0.01320148507754008,768
deberta-v3-conservative/model-0_0213,models\deberta-v3-conservative\model-0_0213,0.041666666666666664,0.10416666666666667,0.06597222222222222,86.32025,43,48,0.013649716973304749,768
deberta-v3-conservative/model-0_0363,models\deberta-v3-conservative\model-0_0363,0.041666666666666664,0.14583333333333334,0.07881944444444444,85.51807,41,48,0.01181130607922872,768
deberta-v3-conservative/model-0_0004,models\deberta-v3-conservative\model-0_0004,0.041666666666666664,0.16666666666666666,0.09166666666666667,82.402245,40,48,0.012495179971059164,768
biobert-v1.2/model-0_2813,models\biobert-v1.2\model-0_2813,0.020833333333333332,0.25,0.07916666666666666,80.791046,36,48,0.0048581163088480634,768
deberta-v3-conservative/model-0_0678,models\deberta-v3-conservative\model-0_0678,0.020833333333333332,0.20833333333333334,0.08402777777777777,86.41516,38,48,0.012853687008221945,768
deberta-v3-conservative/model-0_0019,models\deberta-v3-conservative\model-0_0019,0.020833333333333332,0.1875,0.08506944444444443,80.07974,39,48,0.013383766015370687,768
pubmedbert-ms/model-0_2918,models\pubmedbert-ms\model-0_2918,0.020833333333333332,0.2916666666666667,0.09999999999999999,82.67048,34,48,0.004704212148984273,768
deberta-v3-conservative/model-0_0060,models\deberta-v3-conservative\model-0_0060,0.020833333333333332,0.16666666666666666,0.06458333333333334,80.38306,40,48,0.01313893993695577,768
deberta-v3-conservative/model-0_0057,models\deberta-v3-conservative\model-0_0057,0.020833333333333332,0.1875,0.07777777777777778,78.80984,39,48,0.013218497236569723,768
deberta-v3-conservative/model-0_0041,models\deberta-v3-conservative\model-0_0041,0.020833333333333332,0.14583333333333334,0.07708333333333334,81.64171,41,48,0.01282362143198649,768
biobert/model-0_2945,models\biobert\model-0_2945,0.0,0.20833333333333334,0.07777777777777778,81.60876,38,48,0.005089233318964641,768
paraphrase-agressive/model-0_0000,models\paraphrase-agressive\model-0_0000,0.0,0.16666666666666666,0.05902777777777777,100.00001,40,48,0.005444626013437907,384
