model,path,accuracy_at_1,accuracy_at_5,mrr,avg_similarity,not_found,total_queries,avg_query_time,dimension
bluebert/model-0_0000,models\bluebert\model-0_0000,0.20833333333333334,0.3125,0.23576388888888888,67.75947,33,48,0.004907454053560893,768
pubmedbert-ms/model-0_1013,models\pubmedbert-ms\model-0_1013,0.16666666666666666,0.5,0.26666666666666666,72.92131,24,48,0.005271111925443013,768
bluebert/model-0_0118,models\bluebert\model-0_0118,0.16666666666666666,0.2916666666666667,0.2125,66.5136,34,48,0.0049556394418080645,768
bluebert/model-0_0310,models\bluebert\model-0_0310,0.16666666666666666,0.20833333333333334,0.18125,72.5788,38,48,0.004730448126792908,768
bluebert/model-0_0020,models\bluebert\model-0_0020,0.16666666666666666,0.3125,0.20868055555555556,66.67816,33,48,0.004987001419067383,768
scibert/model-0_0001,models\scibert\model-0_0001,0.16666666666666666,0.3958333333333333,0.2708333333333333,65.56023,29,48,0.005913759271303813,768
scibert/model-0_0002,models\scibert\model-0_0002,0.14583333333333334,0.3958333333333333,0.24722222222222223,63.29406,29,48,0.005466466148694356,768
pubmedbert-ms/model-0_0175,models\pubmedbert-ms\model-0_0175,0.14583333333333334,0.5,0.2659722222222222,73.04642,24,48,0.004969497521718343,768
scibert/model-0_0004,models\scibert\model-0_0004,0.14583333333333334,0.4583333333333333,0.26076388888888885,62.07667,26,48,0.0050063977638880415,768
biolinkbert/model-0_2622,models\biolinkbert\model-0_2622,0.14583333333333334,0.3333333333333333,0.2125,70.91333,32,48,0.004803359508514404,768
biobert-v1.2/model-0_0065,models\biobert-v1.2\model-0_0065,0.14583333333333334,0.2916666666666667,0.19166666666666665,75.043594,34,48,0.005513424674669902,768
biobert/model-0_0000,models\biobert\model-0_0000,0.125,0.3958333333333333,0.1954861111111111,68.390915,29,48,0.00522427757581075,768
scibert/model-0_0929,models\scibert\model-0_0929,0.125,0.375,0.20694444444444446,59.67654,30,48,0.0052708784739176435,768
deberta-v3-conservative/model-0_0019,models\deberta-v3-conservative\model-0_0019,0.125,0.1875,0.14652777777777778,76.44415,39,48,0.011994048953056335,768
biobert/model-0_0002,models\biobert\model-0_0002,0.125,0.4375,0.2107638888888889,67.41057,27,48,0.005645503600438436,768
biobert/model-0_0004,models\biobert\model-0_0004,0.125,0.4166666666666667,0.2041666666666667,68.70631,28,48,0.006035501758257548,768
biobert/model-0_0015,models\biobert\model-0_0015,0.125,0.3541666666666667,0.19062500000000002,72.78605,31,48,0.004988228281339009,768
biobert/model-0_0001,models\biobert\model-0_0001,0.125,0.3958333333333333,0.1954861111111111,68.49091,29,48,0.005476608872413635,768
biobert/model-0_0000_1,models\biobert\model-0_0000_1,0.125,0.3958333333333333,0.19895833333333335,69.29589,29,48,0.005806709329287211,768
biobert/model-0_1459,models\biobert\model-0_1459,0.125,0.22916666666666666,0.14791666666666667,76.66275,37,48,0.005382503072420756,768
biobert/model-0_0292,models\biobert\model-0_0292,0.125,0.3125,0.165625,75.51824,33,48,0.005281115571657817,768
biobert/model-0_0020,models\biobert\model-0_0020,0.125,0.3333333333333333,0.18541666666666667,73.042725,32,48,0.005823751290639241,768
biobert/model-0_0073,models\biobert\model-0_0073,0.10416666666666667,0.2916666666666667,0.16111111111111112,75.21131,34,48,0.005237758159637451,768
bluebert/model-0_2036,models\bluebert\model-0_2036,0.10416666666666667,0.25,0.15104166666666666,78.32893,36,48,0.005751490592956543,768
bioclinicalbert/model-0_0107,models\bioclinicalbert\model-0_0107,0.10416666666666667,0.3958333333333333,0.18680555555555556,67.96981,29,48,0.0049600750207901,768
biobert/model-0_2945,models\biobert\model-0_2945,0.08333333333333333,0.20833333333333334,0.12118055555555556,82.86582,38,48,0.005568290750185649,768
bioclinicalbert/model-0_0001,models\bioclinicalbert\model-0_0001,0.08333333333333333,0.4583333333333333,0.1986111111111111,58.973915,26,48,0.00641500453154246,768
biobert-v1.2/model-0_0173,models\biobert-v1.2\model-0_0173,0.08333333333333333,0.2916666666666667,0.1517361111111111,77.421616,34,48,0.005349780122439067,768
bioclinicalbert/model-0_0003,models\bioclinicalbert\model-0_0003,0.08333333333333333,0.5,0.21631944444444443,63.914135,24,48,0.005135585864384969,768
bioclinicalbert/model-0_1554,models\bioclinicalbert\model-0_1554,0.08333333333333333,0.3541666666666667,0.15,67.10718,31,48,0.004692628979682922,768
deberta-v3-conservative/model-0_0993,models\deberta-v3-conservative\model-0_0993,0.08333333333333333,0.1875,0.12152777777777778,93.10383,39,48,0.011810714999834696,768
deberta-v3-conservative/model-0_0002,models\deberta-v3-conservative\model-0_0002,0.08333333333333333,0.14583333333333334,0.1111111111111111,82.00612,41,48,0.011647482713063559,768
deberta-v3-conservative/model-0_0004,models\deberta-v3-conservative\model-0_0004,0.08333333333333333,0.1875,0.11805555555555557,78.50345,39,48,0.011672422289848328,768
deberta-v3-conservative/model-0_0010,models\deberta-v3-conservative\model-0_0010,0.08333333333333333,0.16666666666666666,0.11180555555555555,79.17533,40,48,0.01204413672288259,768
bioclinicalbert/model-0_0032,models\bioclinicalbert\model-0_0032,0.08333333333333333,0.4166666666666667,0.19652777777777777,66.80345,28,48,0.005386829376220703,768
biobert-v1.2/model-0_1077,models\biobert-v1.2\model-0_1077,0.08333333333333333,0.2916666666666667,0.15763888888888888,80.9927,34,48,0.005126525958379109,768
deberta-v3-conservative/model-0_0027,models\deberta-v3-conservative\model-0_0027,0.08333333333333333,0.16666666666666666,0.11979166666666667,79.257195,40,48,0.011793499191602072,768
bluebert/model-0_1034,models\bluebert\model-0_1034,0.08333333333333333,0.22916666666666666,0.13159722222222223,67.12692,37,48,0.005626370509465535,768
scibert/model-0_2747,models\scibert\model-0_2747,0.08333333333333333,0.2916666666666667,0.14375000000000002,67.66726,34,48,0.005064100027084351,768
